university,year,state,rank,IPEDS,policy_typology,token_count,restrictive_count,innovation_count,admin_count,faculty_count,restrictive_density,innovation_density,admin_density,faculty_density,max_density,second_density,density_gap
Princeton University,2026,NJ,1.0,186131.0,Administrative Risk-Management,709,1,3,6,0,0.0014104372355430183,0.004231311706629055,0.00846262341325811,0.0,0.00846262341325811,0.004231311706629055,0.004231311706629055
Massachusetts Institute of Technology,2025,MA,2.0,166683.0,Administrative Risk-Management,691,2,2,6,0,0.002894356005788712,0.002894356005788712,0.008683068017366137,0.0,0.008683068017366137,0.002894356005788712,0.0057887120115774245
Harvard University,2026,MA,3.0,166027.0,Administrative Risk-Management,458,3,1,7,0,0.006550218340611353,0.002183406113537118,0.015283842794759825,0.0,0.015283842794759825,0.006550218340611353,0.008733624454148471
Stanford University,2023,CA,3.0,243744.0,Restrictive / Compliance-Driven,534,5,4,0,0,0.009363295880149813,0.00749063670411985,0.0,0.0,0.009363295880149813,0.00749063670411985,0.0018726591760299628
Yale University,2023,CT,3.0,130794.0,Innovation-Forward,536,4,9,3,0,0.007462686567164179,0.016791044776119403,0.005597014925373134,0.0,0.016791044776119403,0.007462686567164179,0.009328358208955223
University of Chicago,2026,IL,6.0,144050.0,Administrative Risk-Management,1381,6,6,8,0,0.004344677769732078,0.004344677769732078,0.005792903692976104,0.0,0.005792903692976104,0.004344677769732078,0.0014482259232440255
Northwestern University,2026,IL,7.0,147767.0,Restrictive / Compliance-Driven,1656,14,14,0,0,0.008454106280193236,0.008454106280193236,0.0,0.0,0.008454106280193236,0.008454106280193236,0.0
University of Pennsylvania,2026,PA,7.0,215062.0,Innovation-Forward,432,1,2,0,0,0.0023148148148148147,0.004629629629629629,0.0,0.0,0.004629629629629629,0.0023148148148148147,0.0023148148148148147
California Institute of Technology,2025,CA,6.0,110404.0,Innovation-Forward,689,4,6,0,0,0.005805515239477504,0.008708272859216255,0.0,0.0,0.008708272859216255,0.005805515239477504,0.0029027576197387514
Dartmouth College,2025,NH,15.0,182670.0,Innovation-Forward,858,7,8,0,0,0.008158508158508158,0.009324009324009324,0.0,0.0,0.009324009324009324,0.008158508158508158,0.001165501165501166
Columbia University,2025,NY,13.0,190150.0,Restrictive / Compliance-Driven,2771,29,21,23,1,0.010465535907614579,0.007578491519307109,0.008300252616383976,0.00036088054853843375,0.010465535907614579,0.008300252616383976,0.0021652832912306026
University of California Berkeley,2025,CA,17.0,110635.0,Innovation-Forward,1023,5,6,4,0,0.004887585532746823,0.005865102639296188,0.0039100684261974585,0.0,0.005865102639296188,0.004887585532746823,0.0009775171065493646
University of California Los Angeles,2026,CA,17.0,110662.0,Innovation-Forward,642,3,5,0,0,0.004672897196261682,0.00778816199376947,0.0,0.0,0.00778816199376947,0.004672897196261682,0.0031152647975077885
Rice University,2024,TX,17.0,227757.0,Administrative Risk-Management,834,1,4,5,0,0.001199040767386091,0.004796163069544364,0.005995203836930456,0.0,0.005995203836930456,0.004796163069544364,0.0011990407673860915
