column,dtype,non_null,null,example
university,object,337,0,Princeton University
state,object,262,75,NJ
IPEDS,float64,112,225,186131.0
year,int64,337,0,2026
link,object,336,1,Generative AI at Princeton | Office of Information Technology
name,object,336,1,Fan Zhang
rank,float64,105,232,1.0
text,object,337,0,"1. Statement of Purpose 
The purpose of this policy is to manage the use of Princeton University administrative and operational information with generative AI tools. 

In order to support the responsible use of generative AI tools and to mitigate the risks and limitations associated with their use, only generative AI tools licensed by the University should be used with University Information classified as Unrestricted Within Princeton or Confidential information under the University’s Information Security Policy. Publicly available generative AI tools lack the contractual protections required by the University. For guidance on the risks and limitations, as well as the appropriate use of, University-licensed generative AI tools, see the Generative AI at Princeton website. 

2. Who Is Affected by This Policy 
This policy applies to all individuals and entities granted access to University Information, including, but not limited to, employees, contractors, temporary employees, and volunteers. For the purposes of this policy, University Information does not include information used for research, academic or instructional purposes.

3. Definitions 
Generative AI tools: information technology tools that create new content, such as text, images, or music, by learning patterns from existing data, and products that include such capabilities.
University Information: information that Princeton University collects, possesses, or has access to, regardless of its source, to perform administrative and operational functions, including without limitation, student, financial and HR information. For the purposes of this policy, this does not include information used for research, academic or instructional purposes.   
University-licensed generative AI tool: generative AI tool for which the University maintains an enterprise agreement that grants the University a license to use such tool. (See the Princeton-Supported AI Tools webpage for a list of more broadly available University-licensed generative AI tools.) 
4. Policy Statement 
University-licensed generative AI tools should be used with Princeton Information classified as Unrestricted Within Princeton or Confidential under the University’s Information Security Policy. The use of publicly available generative AI tools in conjunction with such Princeton Information is not permitted by the University. 

5. Procedure for Requesting a Generative AI Tool  
If you are considering procuring a generative AI tool or if an existing information technology tool acquires generative AI capabilities, the first step is to schedule an Architecture & Security Review (ASR). For more information or to schedule an ASR, please visit the ASR webpage. If the product or tool receives ASR endorsement, Procurement or OIT must assist you with contract review and negotiation to ensure the University receives the necessary contractual protections. If you would like the University to consider licensing a particular generative AI tool, contact Vice President and CIO Daren Hubbard or Deputy CIO Carol Kondrach. 



Guidance on the Use of Generative AI at Princeton
Do:
Accountability and Responsibility: Ensure that AI systems are used responsibly by identifying the benefits, risks, and limitations associated with each use case. Please consult the University’s regulations in Rights, Rules, Responsibilities on appropriate and inappropriate uses of AI for academic work.
Data Privacy: Protect sensitive information and adhere to relevant data protection regulations, and university policies, including data classification guidelines when crafting input prompts or giving Gen AI tools the access to documents, texts or images to an AI system.
Accuracy and Quality: Maintain oversight and always review and validate AI-generated content to ensure accuracy and appropriateness.
Biased data: Regularly monitor and evaluate the performance of the AI system for biases or unintended consequences.
Transparency: Clearly communicate to the end users and stakeholders the use of AI to foster an environment of trust and accountability.
Copyright and IP: Ensure AI-generated content doesn’t infringe on relevant copyright laws and respects intellectual property rights. This includes protected text, images, music, and other forms of media.
Ethical considerations: Understand ethical implications of AI usage and use Gen AI applications in alignment with core values such as respect, fairness and explainability.

Don’t:
Data protection: Don't use non-public Princeton data in public Gen AI tools.
Over-reliance on AI: Don’t rely on AI results without cross verification, particularly in complex or sensitive situations.
Use system without understanding: Using the system without understanding how it makes decisions can lead to misuse or unintended consequences. If the AI system provides explanations for its decisions or suggestions, don’t ignore them.
Overpromise and Underdeliver: Don’t set unrealistic expectations about what AI can achieve."
mentions_ai,bool,337,0,True
mentions_policy_lang,bool,337,0,True
likely_ai_policy,bool,337,0,True
ai_density,float64,337,0,0.0399449035812672
