university,year,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9
Princeton University,2026,0.18920669,0.07424604,0.11767332,0.03825706,0.12488235,0.318232,0.010206481,0.12729536,0.11498997360467911,0.0
Massachusetts Institute of Technology,2025,0.4217292,0.076178946,0.1839474,0.04179581,0.09031187,0.12698354,0.010276994,0.04877552,0.15200521051883698,0.12222018092870712
Harvard University,2026,0.24694332,0.03590333,0.085959025,0.002962721,0.025309829,0.41633296,0.060801893,0.12578626,0.9960644841194153,0.0
Stanford University,2023,0.119274236,0.083331086,0.03540456,0.0951626,0.051321637,0.11429041,0.30701593,0.19419964,0.1852358728647232,0.0
Yale University,2023,0.07500307,0.040566005,0.099707626,0.031042729,0.16754496,0.16664298,0.046223473,0.37326914,0.9295951724052429,0.0
University of Chicago,2026,0.3902307,0.060522273,0.08494837,0.042634286,0.09740571,0.18435977,0.056054264,0.08384411,0.0,0.0
Northwestern University,2026,0.018275365,0.2898931,0.07398356,0.040334836,0.1055637,0.09874663,0.21564716,0.15755565,0.0,0.0
University of Pennsylvania,2026,0.17031185,0.087653466,0.0095140515,0.08073046,0.08191784,0.21042329,0.1640051,0.19544397,0.0,0.38060933351516724
California Institute of Technology,2025,0.39786676,0.10311095,0.0445565,0.10762432,0.07547706,0.14231056,0.033540204,0.0955132,0.1965787410736084,0.06777797639369965
Dartmouth College,2025,0.07568421,0.102506466,0.047983706,0.14247899,0.2384372,0.08686521,0.21630299,0.089740604,0.0,0.0
Columbia University,2025,0.22132133,0.08090314,0.055186767,0.045849696,0.060376927,0.38148326,0.079727925,0.075147256,0.9993851780891418,0.0
University of California Berkeley,2025,0.2268657,0.077037066,0.21917593,0.044090975,0.05487255,0.0809104,0.26049012,0.03655664,0.0,0.0
University of California Los Angeles,2026,0.07780836,0.14092222,0.039354272,0.050736487,0.124876186,0.12113092,0.3651018,0.08006925,0.0,0.0
Rice University,2024,0.35537288,0.23028593,0.025278358,0.12198498,0.035526834,0.047538932,0.10485057,0.079161264,0.0,0.0
Vanderbilt University,2024,0.22553408,0.045543384,0.0021499258,0.0023246168,0.385463,0.0025281173,0.26256508,0.07389176,0.0,0.0
University of Notre Dame,2026,0.22942512,0.122891866,0.19136523,0.0863509,0.05782021,0.13665342,0.080485985,0.0950062,0.4000055193901062,0.0
Carnegie Mellon University,2026,0.0026325108,0.1585648,0.007727786,0.085914314,0.08363585,0.08082594,0.43404645,0.14665179,0.0,0.0
University of Michigan Ann Arbor,2026,0.03830619,0.21413648,0.046073604,0.31510168,0.07850866,0.080954,0.15906139,0.06785667,0.0,0.0
Washington University in St. Louis,2026,0.15291013,0.0340104,0.05446276,0.0690006,0.10707901,0.1958255,0.06314307,0.32356814,0.6892292499542236,0.0
Emory University,2026,0.31983244,0.10313718,0.06589483,0.092674136,0.1734059,0.034974176,0.076258294,0.1338229,0.0,0.0
Georgetown University,2026,0.15583219,0.0801818,0.04987256,0.006839912,0.11758008,0.24867389,0.11281565,0.22820315,0.0,0.0
University of Virginia,2025,0.18860576,0.058377735,0.13682088,0.22863655,0.08144825,0.17895234,0.09005612,0.03709762,0.0,0.0
University of Virginia,2026,0.04265298,0.22936943,0.010350702,0.13542956,0.016028838,0.10965326,0.36559746,0.0909155,0.0,0.0
University of North Carolina Chapel Hill,2025,0.08657784,0.15688053,0.09943928,0.054721642,0.13785848,0.17635016,0.18578802,0.10237819,0.0,0.0
University of Southern California,2026,0.30846077,0.039062057,0.17737454,0.0864087,0.16833934,0.12549551,0.042793818,0.05206257,0.0,0.0
University of California San Diego,2026,0.0145022925,0.023506062,0.1397763,0.33299616,0.08388526,0.14113998,0.1253351,0.13885844,0.0,0.0
University of Florida,2024,0.088888176,0.1823742,0.080762275,0.099032894,0.25164655,0.070908494,0.12911354,0.09727165,0.0,0.0
University of Florida,2026,0.24049474,0.030048743,0.07352542,0.053618502,0.1323119,0.17035818,0.16181824,0.13782378,0.030216341838240623,0.0
New York University,2026,0.043119695,0.18456374,0.04807975,0.14860697,0.14445707,0.06467634,0.24891241,0.1175835,0.2703630328178406,0.0
Georgia Institute of Technology,2026,0.22687449,0.060136013,0.34212962,0.069182016,0.051226836,0.16781424,0.0300634,0.0525693,0.0,0.9997552037239075
University of California Davis,2026,0.10645135,0.03201492,0.13172588,0.01175105,0.19631536,0.31911442,0.080135554,0.12249113,0.18362244963645935,0.0
University of Illinois Urbana Champaign,2026,0.10941956,0.07443785,0.002004594,0.110051684,0.14518206,0.057378184,0.31645092,0.18507534,0.0,0.0
Boston College,2026,0.018734321,0.10745503,0.019129256,0.2713685,0.22929047,0.032711986,0.123549916,0.197756,0.0,0.0
Tufts University,2026,0.1978182,0.055087116,0.110360235,0.006689978,0.01621098,0.25431967,0.068494365,0.29101864,0.9963777661323547,0.0
University of Wisconsin Madison,2024,0.28651884,0.008928607,0.29923704,0.09539347,0.09881337,0.10701038,0.046334878,0.05776399,0.0,0.0
University of Wisconsin Madison,2026,0.02821405,0.24176778,0.09383741,0.10062032,0.038635302,0.15225624,0.13645355,0.20821525,0.0,0.0
University of California Santa Barbara,2026,0.18292278,0.048232187,0.25729594,0.04032075,0.2826774,0.08057485,0.027203329,0.080773,0.0,0.0
Ohio State University Columbus,2026,0.121185675,0.1750251,0.06615512,0.11252691,0.10017198,0.12428799,0.1600348,0.14060548,0.0,0.027401547878980637
Boston University,2025,0.20229119,0.06839002,0.17687716,0.11489652,0.084467664,0.04316055,0.118274756,0.19164157,0.0,0.0
Rutgers University New Brunswick,2024,0.1662122,0.075988725,0.008236223,0.02099609,0.06766785,0.14789389,0.17483756,0.33816734,0.9960638284683228,0.0
Rutgers University New Brunswick,2026,0.2655483,0.016385045,0.0056270654,0.0055571436,0.10736955,0.081520766,0.21937506,0.29861537,0.9929524064064026,0.0
University of Maryland College Park,2025,0.2113374,0.08231296,0.064991966,0.2016061,0.17647907,0.10781519,0.06764421,0.087806806,0.0,0.0
University of Maryland College Park,2026,0.04938942,0.217251,0.02676339,0.22411078,0.10872129,0.063361526,0.1766348,0.13376698,0.0,0.0
University of Washington,2025,0.11440427,0.19717614,0.1537842,0.20898585,0.06480715,0.12035056,0.09314515,0.047346134,0.0,0.0
University of Rochester,2024,0.12603177,0.10604661,0.090432495,0.16515009,0.19803953,0.073163785,0.07768834,0.16344154,0.0,0.0
Purdue University,2025,0.07009623,0.119031765,0.053868033,0.17950545,0.14470498,0.08761268,0.15817235,0.18700893,0.0,0.0
University of Georgia,2025,0.19812405,0.113398604,0.12632908,0.10816594,0.1200389,0.16103129,0.05139683,0.121515006,0.0,0.0
Northeastern University,2025,0.26435524,0.045469772,0.119061865,0.054570038,0.21294826,0.19362095,0.094285525,0.015688455,0.33087265491485596,0.0320415124297142
Texas A&M University College Station,2025,0.040559713,0.09788549,0.11313039,0.055158354,0.20191416,0.14073002,0.10726298,0.24335462,0.0,0.0
George Washington University,2023,0.00019714063,0.00019762052,0.00017362124,0.27057847,0.06610829,0.19806363,0.43941766,0.02526024,0.0,0.0
Pennsylvania State University University Park,2026,0.14572722,0.12145893,0.051759016,0.052377794,0.13476822,0.12580606,0.31917715,0.04892216,0.0,0.19191624224185944
North Carolina State University,2026,0.26386324,0.05542203,0.046332277,0.1515865,0.14104629,0.17773111,0.096249186,0.06776822,0.0,0.0
University of Massachusetts Amherst,2026,0.08930779,0.09262432,0.0958302,0.15627135,0.10709016,0.13454811,0.23419924,0.09012815,0.0,0.0
Michigan State University,2026,0.16922417,0.122821294,0.06208451,0.08957193,0.26139808,0.07842366,0.092462726,0.12400693,0.0,0.0
Brandeis University,2025,0.24103051,0.08393115,0.17112723,0.0370133,0.1530658,0.10308778,0.04791338,0.16283044,0.0,0.0
Binghamton University,2025,0.16465092,0.025455698,0.076317854,0.14351237,0.09772651,0.28591397,0.03175941,0.17466305,0.0,0.0
Syracuse University,2026,0.24518389,0.08412821,0.07710851,0.040205937,0.3570302,0.14207822,0.033749163,0.020515442,0.0,0.12076810002326965
University of Buffalo,2024,0.17678969,0.23081002,0.1043728,0.051621236,0.111064024,0.08334848,0.08023046,0.16176334,0.34868142008781433,0.0
University of California Riverside,2025,0.081991166,0.18129146,0.035744388,0.2534832,0.053556956,0.09811891,0.15916118,0.1366532,0.0,0.027145065367221832
Clemson University,2025,0.19542915,0.08634907,0.034921423,0.035271443,0.112840004,0.19244736,0.21838361,0.12435788,0.0,0.0
Colorado School of Mines,2023,0.041987035,0.08609375,0.03216392,0.3084952,0.10543617,0.064238526,0.18804654,0.17353825,0.0,0.0
Stevens Institute of Technology,2025,0.22345197,0.34076723,0.022755377,0.029219428,0.097267054,0.11654517,0.12788741,0.042105254,0.0,0.0
New Jersey Institute of Technology,2026,0.014511043,0.13994253,0.026110295,0.043113247,0.22620773,0.12825394,0.28198153,0.13987929,0.0,0.0
Pepperdine University,2026,0.040659737,0.17403848,0.023169836,0.35215333,0.16378014,0.07125507,0.03756249,0.1373812,0.0,0.0
University of Illinois Chicago,2025,0.09794094,0.08215061,0.16841649,0.08434128,0.07533455,0.15296274,0.051528867,0.28732398,0.0,0.0
Worcester Polytechnic Institute,2023,0.09162285,0.008328508,0.11094297,0.0010771798,0.15663235,0.009478769,0.04381715,0.5781003,0.25480252504348755,0.0
