university,year,rank,state,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9
Princeton University,2026,1.0,NJ,0.0,0.0,0.0,0.0,0.0,0.4668678939342499,0.416803777217865,0.0,0.11498997360467911,0.0
Massachusetts Institute of Technology,2025,2.0,MA,0.0,0.0,0.0,0.0,0.0,0.09165757149457932,0.6328970789909363,0.0,0.15200521051883698,0.12222018092870712
Harvard University,2026,3.0,MA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9960644841194153,0.0
Stanford University,2023,3.0,CA,0.0,0.0,0.0,0.0,0.30000466108322144,0.21720409393310547,0.2959376275539398,0.0,0.1852358728647232,0.0
Yale University,2023,3.0,CT,0.0,0.0,0.0,0.0,0.0,0.06822069734334946,0.0,0.0,0.9295951724052429,0.0
University of Chicago,2026,6.0,IL,0.0,0.0,0.0,0.0,0.0,0.07643797993659973,0.9228190183639526,0.0,0.0,0.0
Northwestern University,2026,7.0,IL,0.2067956179380417,0.2030917853116989,0.0,0.0,0.589177131652832,0.0,0.0,0.0,0.0,0.0
University of Pennsylvania,2026,7.0,PA,0.0,0.0,0.0,0.25028422474861145,0.0,0.0,0.3655961751937866,0.0,0.0,0.38060933351516724
California Institute of Technology,2025,6.0,CA,0.20493364334106445,0.0,0.0,0.0,0.14817099273204803,0.2101420909166336,0.17171841859817505,0.0,0.1965787410736084,0.06777797639369965
Dartmouth College,2025,15.0,NH,0.6835582852363586,0.08878562599420547,0.0,0.2262735515832901,0.0,0.0,0.0,0.0,0.0,0.0
Columbia University,2025,13.0,NY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9993851780891418,0.0
University of California Berkeley,2025,17.0,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.9985418319702148,0.0,0.0,0.0
University of California Los Angeles,2026,17.0,CA,0.0,0.9975359439849854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rice University,2024,17.0,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9980514049530029,0.0,0.0
Vanderbilt University,2024,18.0,TN,0.0,0.0,0.0,0.22192564606666565,0.0,0.7731418609619141,0.0,0.0,0.0,0.0
University of Notre Dame,2026,20.0,IN,0.0,0.0,0.0,0.060874294489622116,0.0,0.22938773036003113,0.3088672161102295,0.0,0.4000055193901062,0.0
Carnegie Mellon University,2026,20.0,PA,0.0,0.0,0.9985158443450928,0.0,0.0,0.0,0.0,0.0,0.0,0.0
University of Michigan Ann Arbor,2026,20.0,MI,0.5599924921989441,0.0,0.43870458006858826,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Washington University in St. Louis,2026,20.0,MO,0.0,0.0,0.0,0.0,0.3048536777496338,0.0,0.0,0.0,0.6892292499542236,0.0
Emory University,2026,24.0,GA,0.040196649730205536,0.0,0.0,0.0,0.0,0.958149790763855,0.0,0.0,0.0,0.0
Georgetown University,2026,24.0,DC,0.0,0.0,0.0,0.0,0.0,0.6712321043014526,0.3258991539478302,0.0,0.0,0.0
University of Virginia,2025,24.0,VA,0.7048487663269043,0.0,0.0,0.0,0.0,0.0,0.2943817675113678,0.0,0.0,0.0
University of Virginia,2026,26.0,VA,0.0,0.0,0.0,0.0,0.9993902444839478,0.0,0.0,0.0,0.0,0.0
University of North Carolina Chapel Hill,2025,27.0,NC,0.0,0.0,0.0,0.14602141082286835,0.0,0.853768527507782,0.0,0.0,0.0,0.0
University of Southern California,2026,28.0,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.9992653727531433,0.0,0.0,0.0
University of California San Diego,2026,29.0,CA,0.0,0.9939444661140442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
University of Florida,2024,28.0,FL,0.9795069098472595,0.0,0.0,0.0,0.0,0.02034294232726097,0.0,0.0,0.0,0.0
University of Florida,2026,30.0,FL,0.10692168027162552,0.0,0.0,0.07663393765687943,0.0,0.19088131189346313,0.5946686267852783,0.0,0.030216341838240623,0.0
