,Public,Private nonprofit,diff_public_minus_private
Topic_0,0.11984461565551005,0.07637571255888856,0.04346890309662149
Topic_1,0.09345248640563927,0.07688537625628605,0.01656711014935322
Topic_2,0.023165933297652947,0.030588488764407343,-0.007422555466754396
Topic_3,0.13721077448051228,0.10492823946109989,0.03228253501941239
Topic_4,0.044938787033683376,0.028930156377323886,0.01600863065635949
Topic_5,0.3091521368263976,0.2990046801666419,0.010147456659755694
Topic_6,0.15850410164382897,0.16739009575624214,-0.00888599411241317
Topic_7,0.015416469228895087,0.017509673771105315,-0.0020932045422102277
Topic_8,0.0768692840724007,0.14371177969140964,-0.06684249561900893
Topic_9,0.019068423389016015,0.05250026651641779,-0.03343184312740177
